region_id,city,location,country,
20392,Samos,Samos,,
20397,Chania,Chania,,
20514,South District,South District,,
20515,Haifa District,Haifa District,,
20516,Jerusalem District,Jerusalem District,,
20517,Center District,Center District,,
20518,Tel Aviv District,Tel Aviv District,,
20519,North District,North District,,
20791,Auckland,Auckland,,
20792,Bay Of Plenty,Bay Of Plenty,,
20796,Ancash,Ancash,,
20797,Arequipa,Arequipa,,
20798,Ayacucho,Ayacucho,,
20799,Cajamarca,Cajamarca,,
20800,Callao Region,Callao Region,,
20801,Cusco,Cusco,,
20802,Huanuco,Huanuco,,
20803,Huancavelica,Huancavelica,,
20804,Ica,Ica,,
20805,Junin,Junin,,
20806,La Libertad,La Libertad,,
20807,Lambayeque,Lambayeque,,
20808,Lima Region,Lima Region,,
20809,Loreto,Loreto,,
20810,Moquegua,Moquegua,,
20811,Pasco,Pasco,,
20812,Piura,Piura,,
20813,Puno,Puno,,
20814,San Martin,San Martin,,
20815,Tacna,Tacna,,
20816,Ucayali,Ucayali,,
20835,Metro Manila,Metro Manila,,
20847,Lower Silesian Voivodeship,Lower Silesian Voivodeship,,
20848,Kuyavian-Pomeranian Voivodeship,Kuyavian-Pomeranian Voivodeship,,
20849,Lubusz Voivodeship,Lubusz Voivodeship,,
20850,Lodz Voivodeship,Lodz Voivodeship,,
20851,Lublin Voivodeship,Lublin Voivodeship,,
20852,Lesser Poland Voivodeship,Lesser Poland Voivodeship,,
20853,Masovian Voivodeship,Masovian Voivodeship,,
20854,Opole Voivodeship,Opole Voivodeship,,
20855,Podlaskie Voivodeship,Podlaskie Voivodeship,,
20856,Podkarpackie Voivodeship,Podkarpackie Voivodeship,,
20857,Pomeranian Voivodeship,Pomeranian Voivodeship,,
20858,Swietokrzyskie,Swietokrzyskie,,
20859,Silesian Voivodeship,Silesian Voivodeship,,
20860,Warmian-Masurian Voivodeship,Warmian-Masurian Voivodeship,,
20861,Greater Poland Voivodeship,Greater Poland Voivodeship,,
20862,West Pomeranian Voivodeship,West Pomeranian Voivodeship,,
20865,Aveiro District,Aveiro District,,
20866,Braga,Braga,,
20867,Braganca District,Braganca District,,
20868,Castelo Branco District,Castelo Branco District,,
20869,Coimbra District,Coimbra District,,
20870,Evora District,Evora District,,
20871,Faro District,Faro District,,
20872,Guarda District,Guarda District,,
20873,Leiria District,Leiria District,,
20874,Lisbon,Lisbon,,
20875,Portalegre District,Portalegre District,,
20876,Porto District,Porto District,,
20877,Santarem District,Santarem District,,
20878,Setubal,Setubal,,
20879,Viana do Castelo District,Viana do Castelo District,,
20880,Viseu District,Viseu District,,
20881,Azores,Azores,,
20882,Madeira,Madeira,,
20914,Altai Republic,Altai Republic,,
20915,Amur Oblast,Amur Oblast,,
20916,Arkhangelsk Oblast,Arkhangelsk Oblast,,
20917,Astrakhan Oblast,Astrakhan Oblast,,
20918,Republic of Bashkortostan,Republic of Bashkortostan,,
20919,Belgorod Oblast,Belgorod Oblast,,
20920,Bryansk Oblast,Bryansk Oblast,,
20921,Buryatia,Buryatia,,
20922,Chelyabinsk Oblast,Chelyabinsk Oblast,,
20924,Chukotka Autonomous Okrug,Chukotka Autonomous Okrug,,
20925,Dagestan Republic,Dagestan Republic,,
20926,Irkutsk Oblast,Irkutsk Oblast,,
20927,Ivanovo Oblast,Ivanovo Oblast,,
20928,Kamchatka Krai,Kamchatka Krai,,
20929,Kabardino-Balkaria,Kabardino-Balkaria,,
20930,Karachay-Cherkessia,Karachay-Cherkessia,,
20931,Krasnodar Krai,Krasnodar Krai,,
20932,Kemerovo Oblast,Kemerovo Oblast,,
20933,Kaliningrad Oblast,Kaliningrad Oblast,,
20934,Kurgan Oblast,Kurgan Oblast,,
20935,Khabarovsk Krai,Khabarovsk Krai,,
20936,Khanty-Mansi Autonomous Okrug,Khanty-Mansi Autonomous Okrug,,
20937,Kirov Oblast,Kirov Oblast,,
20938,Republic of Khakassia,Republic of Khakassia,,
20939,Kaluga Oblast,Kaluga Oblast,,
20940,Komi Republic,Komi Republic,,
20941,Kostroma Oblast,Kostroma Oblast,,
20942,Republic of Karelia,Republic of Karelia,,
20943,Kursk Oblast,Kursk Oblast,,
20944,Krasnoyarsk Krai,Krasnoyarsk Krai,,
20945,Leningrad Oblast,Leningrad Oblast,,
20946,Lipetsk Oblast,Lipetsk Oblast,,
20947,Magadan Oblast,Magadan Oblast,,
20948,Mordovia,Mordovia,,
20949,Moscow Oblast,Moscow Oblast,,
20950,Moscow,Moscow,,
20951,Murmansk Oblast,Murmansk Oblast,,
20952,Novgorod Oblast,Novgorod Oblast,,
20953,Nizhny Novgorod Oblast,Nizhny Novgorod Oblast,,
20954,Novosibirsk Oblast,Novosibirsk Oblast,,
20955,Omsk Oblast,Omsk Oblast,,
20956,Orenburg Oblast,Orenburg Oblast,,
20957,Perm Krai,Perm Krai,,
20958,Penza Oblast,Penza Oblast,,
20959,Primorsky Krai,Primorsky Krai,,
20960,Pskov Oblast,Pskov Oblast,,
20961,Rostov Oblast,Rostov Oblast,,
20962,Ryazan Oblast,Ryazan Oblast,,
20963,Sakha Republic,Sakha Republic,,
20964,Sakhalin Oblast,Sakhalin Oblast,,
20965,Samara Oblast,Samara Oblast,,
20966,Saratov Oblast,Saratov Oblast,,
20967,Smolensk Oblast,Smolensk Oblast,,
20968,Saint Petersburg,Saint Petersburg,,
20969,Stavropol Krai,Stavropol Krai,,
20970,Sverdlovsk Oblast,Sverdlovsk Oblast,,
20971,Tatarstan,Tatarstan,,
20972,Tambov Oblast,Tambov Oblast,,
20973,Taymyr Autonomous Okrug,Taymyr Autonomous Okrug,,
20974,Tomsk Oblast,Tomsk Oblast,,
20975,Tula Oblast,Tula Oblast,,
20976,Tver Oblast,Tver Oblast,,
20977,Tyumen Oblast,Tyumen Oblast,,
20978,Udmurt Republic,Udmurt Republic,,
20979,Ulyanovsk Oblast,Ulyanovsk Oblast,,
20980,Volgograd Oblast,Volgograd Oblast,,
20981,Vladimir Oblast,Vladimir Oblast,,
20982,Vologda Oblast,Vologda Oblast,,
20983,Voronezh Oblast,Voronezh Oblast,,
20984,Yamalo-Nenets Autonomous Okrug,Yamalo-Nenets Autonomous Okrug,,
20985,Yaroslavl Oblast,Yaroslavl Oblast,,
21109,Vinnyts'ka oblast,Vinnyts'ka oblast,,
21110,Volyns'ka oblast,Volyns'ka oblast,,
21111,Luhans'ka oblast,Luhans'ka oblast,,
21112,Dnipropetrovsk Oblast,Dnipropetrovsk Oblast,,
21113,Donetsk Oblast,Donetsk Oblast,,
21114,Zhytomyrs'ka oblast,Zhytomyrs'ka oblast,,
21115,Zakarpats'ka oblast,Zakarpats'ka oblast,,
21116,Zaporiz'ka oblast,Zaporiz'ka oblast,,
21117,Ivano-Frankivs'ka oblast,Ivano-Frankivs'ka oblast,,
21118,Kyiv city,Kyiv city,,
21119,Kirovohrads'ka oblast,Kirovohrads'ka oblast,,
21121,Lviv Oblast,Lviv Oblast,,
21122,Odessa Oblast,Odessa Oblast,,
21123,Poltavs'ka oblast,Poltavs'ka oblast,,
21124,Sums'ka oblast,Sums'ka oblast,,
21125,Kharkiv Oblast,Kharkiv Oblast,,
21126,Khersons'ka oblast,Khersons'ka oblast,,
21127,Khmel'nyts'ka oblast,Khmel'nyts'ka oblast,,
21128,Cherkas'ka oblast,Cherkas'ka oblast,,
21129,Chernihivs'ka oblast,Chernihivs'ka oblast,,
21130,Chernivets'ka oblast,Chernivets'ka oblast,,
21234,Mari El Republic,Mari El Republic,,
21243,Kalmykia,Kalmykia,,
21250,Adygea,Adygea,,
21251,Ingushetia,Ingushetia,,
21252,North Ossetia–Alania,North Ossetia–Alania,,
21255,Beja District,Beja District,,
21256,Oryol Oblast,Oryol Oblast,,
21277,Jewish Autonomous Oblast,Jewish Autonomous Oblast,,
21290,Magdalena,Magdalena,,
21292,Ternopil's'ka oblast,Ternopil's'ka oblast,,
21302,Canterbury,Canterbury,,
21303,Gisborne,Gisborne,,
21304,Hawke's Bay,Hawke's Bay,,
21305,Manawatu-Wanganui,Manawatu-Wanganui,,
21306,Marlborough,Marlborough,,
21307,Nelson,Nelson,,
21308,Northland,Northland,,
21309,Otago,Otago,,
21310,Southland,Southland,,
21311,Taranaki,Taranaki,,
21312,Tasman,Tasman,,
21313,Waikato,Waikato,,
21314,Wellington,Wellington,,
21315,West Coast,West Coast,,
21318,Seoul,Seoul,,
21319,Busan,Busan,,
